Space Group,Unit Cell,Cell,Angle,Initial Star,Nx,Ny,Nz
P_42%m_n_m_48_48_24,tetragonal,"5.5, 3",,"2,3,4,6",48,48,24
F_d_d_d_1_48_48_48,orthorhombic,"2, 3, 6",,7,48,48,48
P_-1_128_1_1,lam,1,,1,128,1,1
I_a_-3_d_48_48_48,cubic,3,,6,48,48,48
P_-1_48_1_1,lam,1,,1,48,1,1
p_6_m_m_48_48_1,hex,2,,1,48,48,1
c_2_m_m_48_48_1,square,2,,3,48,48,1
p_2_g_g_48_48_1,rectangular,"2, 2",,"2,3",48,48,1
p_2_m_g_48_48_1,rectangular,"2, 2",,"2,3",48,48,1
p_2_m_m_48_48_1,rectangular,"2, 2",,"1,2,3",48,48,1
p_3_48_48_1,hex,2,,"1,2",48,48,1
p_3_1_m_48_48_1,hex,2,,1,48,48,1
p_3_m_1_48_48_1,hex,2,,"1,2",48,48,1
p_4_48_48_1,square,2,,"1,2",48,48,1
p_4_g_m_48_48_1,square,2,,2,48,48,1
p_4_m_m_48_48_1,square,2,,"1,2",48,48,1
p_6_48_48_1,hex,2,,1,48,48,1
p_g_48_48_1,rectangular,"2, 2",,"1,2,3,4,5",48,48,1
p_m_48_48_1,rectangular,"2, 2",,"1,2,3,4,5",48,48,1
P_61_2_2_24_24_36,hexagonal,"3, 5.5",,"2,3",24,24,36
P_6_m_m_24_24_36,hexagonal,"3, 5.5",,"1,2,3,4,7",24,24,36
P_6_c_c_24_24_36,hexagonal,"3, 5.5",,"3,4,7",24,24,36
P_63_c_m_24_24_36,hexagonal,"3, 5.5",,"3,4,7",24,24,36
P_63_m_c_24_24_36,hexagonal,"3, 5.5",,"3,4,7",24,24,36
P_-6_m_2_24_24_36,hexagonal,"3, 5.5",,"1,2,3,4,5",24,24,36
P_-6_c_2_24_24_36,hexagonal,"3, 5.5",,"2,3,4,5",24,24,36
P_-6_2_m_24_24_36,hexagonal,"3, 5.5",,"1,2,3",24,24,36
P_-6_2_c_24_24_36,hexagonal,"3, 5.5",,"2,3",24,24,36
P_6%m_m_m_24_24_36,hexagonal,"3, 5.5",,"1,2,3",24,24,36
P_6%m_c_c_24_24_36,hexagonal,"3, 5.5",,"2,3",24,24,36
P_63%m_c_m_24_24_36,hexagonal,"3, 5.5",,"2,3",24,24,36
P_63%m_m_c_24_24_36,hexagonal,"3, 5.5",,"2,3",24,24,36
P_6_24_24_36,hexagonal,"3, 5.5",,"1,2,3,4,7",24,24,36
P_61_24_24_36,hexagonal,"3, 5.5",,"3,4,7",24,24,36
P_65_24_24_36,hexagonal,"3, 5.5",,"3,4,7",24,24,36
P_62_24_24_36,hexagonal,"3, 5.5",,"3,4,7",24,24,36
P_64_24_24_36,hexagonal,"3, 5.5",,"3,4,7",24,24,36
P_63_24_24_36,hexagonal,"3, 5.5",,"3,4,7",24,24,36
P_-6_24_24_36,hexagonal,"3, 5.5",,"1,2,3,4,5",24,24,36
P_6%m_24_24_36,hexagonal,"3, 5.5",,"1,2,3",24,24,36
P_63%m_24_24_36,hexagonal,"3, 5.5",,"2,3",24,24,36
P_6_2_2_24_24_36,hexagonal,"3, 5.5",,"1,2,3",24,24,36
P_65_2_2_24_24_36,hexagonal,"3, 5.5",,"2,3",24,24,36
P_62_2_2_24_24_36,hexagonal,"3, 5.5",,"2,3",24,24,36
P_64_2_2_24_24_36,hexagonal,"3, 5.5",,"2,3",24,24,36
P_63_2_2_24_24_36,hexagonal,"3, 5.5",,"2,3",24,24,36
P_3_24_24_36,hexagonal,"3, 5.5",,"1,2,3,4,5,6,9,10",24,24,36
P_31_24_24_36,hexagonal,"3, 5.5",,"3,4,5,6,9,10",24,24,36
P_32_24_24_36,hexagonal,"3, 5.5",,"3,4,5,6,9,10",24,24,36
P_-3_24_24_36,hexagonal,"3, 5.5",,"1,2,3,4",24,24,36
P_3_1_2_24_24_36,hexagonal,"3, 5.5",,"1,2,3,4,5",24,24,36
P_3_2_1_24_24_36,hexagonal,"3, 5.5",,"1,2,3,4",24,24,36
P_31_1_2_24_24_36,hexagonal,"3, 5.5",,"2,3,4,5",24,24,36
P_31_2_1_24_24_36,hexagonal,"3, 5.5",,"2,3,4",24,24,36
P_32_1_2_24_24_36,hexagonal,"3, 5.5",,"2,3,4,5",24,24,36
P_32_2_1_24_24_36,hexagonal,"3, 5.5",,"2,3,4",24,24,36
P_3_m_1_24_24_36,hexagonal,"3, 5.5",,"1,2,3,4,5,6,9,10",24,24,36
P_3_1_m_24_24_36,hexagonal,"3, 5.5",,"1,2,3,4,7",24,24,36
P_3_c_1_24_24_36,hexagonal,"3, 5.5",,"3,4,5,6,9,10",24,24,36
P_3_1_c_24_24_36,hexagonal,"3, 5.5",,"3,4,7",24,24,36
P_-3_1_m_24_24_36,hexagonal,"3, 5.5",,"1,2,3",24,24,36
P_-3_1_c_24_24_36,hexagonal,"3, 5.5",,"2,3",24,24,36
P_-3_m_1_24_24_36,hexagonal,"3, 5.5",,"1,2,3,4",24,24,36
P_-3_c_1_24_24_36,hexagonal,"3, 5.5",,"2,3,4",24,24,36
P_4_36_36_24,tetragonal,"5.5, 3",,"1,2,3,4,5,6,8,9",36,36,24
P_41_36_36_24,tetragonal,"5.5, 3",,"1,2,3,4,5,6,8,9",36,36,24
P_42_36_36_24,tetragonal,"5.5, 3",,"1,2,3,4,5,6,8,9",36,36,24
P_43_36_36_24,tetragonal,"5.5, 3",,"1,2,3,4,5,6,8,9",36,36,24
I_4_36_36_24,tetragonal,"5.5, 3",,"2,3,4,5,6,8,9",36,36,24
I_41_36_36_24,tetragonal,"5.5, 3",,"2,3,4,5,6,8,9",36,36,24
P_-4_36_36_24,tetragonal,"5.5, 3",,"1,2,3,4,5,7,8",36,36,24
I_-4_36_36_24,tetragonal,"5.5, 3",,"2,3,4,5,7,8",36,36,24
P_4%m_36_36_24,tetragonal,"5.5, 3",,"1,2,3,4,6",36,36,24
P_42%m_36_36_24,tetragonal,"5.5, 3",,"1,2,3,4,6",36,36,24
P_4%n_1_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6",36,36,24
P_4%n_2_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6",36,36,24
P_42%n_1_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6",36,36,24
P_42%n_2_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6",36,36,24
I_4%m_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6",36,36,24
I_41%a_1_36_36_24,tetragonal,"5.5, 3",,"4,6",36,36,24
I_41%a_2_36_36_24,tetragonal,"5.5, 3",,"4,6",36,36,24
P_4_2_2_36_36_24,tetragonal,"5.5, 3",,"1,2,3,4,6",36,36,24
P_4_21_2_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6",36,36,24
P_41_2_2_36_36_24,tetragonal,"5.5, 3",,"1,2,3,4,6",36,36,24
P_41_21_2_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6",36,36,24
P_42_2_2_36_36_24,tetragonal,"5.5, 3",,"1,2,3,4,6",36,36,24
P_42_21_2_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6",36,36,24
P_43_2_2_36_36_24,tetragonal,"5.5, 3",,"1,2,3,4,6",36,36,24
P_43_21_2_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6",36,36,24
I_4_2_2_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6",36,36,24
I_41_2_2_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6",36,36,24
P_4_m_m_36_36_24,tetragonal,"5.5, 3",,"1,2,3,4,5,6,8,9",36,36,24
P_4_b_m_36_36_24,tetragonal,"5.5, 3",,"2,3,4,5,6,8,9",36,36,24
P_42_c_m_36_36_24,tetragonal,"5.5, 3",,"1,2,3,4,5,6,8,9",36,36,24
P_42_n_m_36_36_24,tetragonal,"5.5, 3",,"2,3,4,5,6,8,9",36,36,24
P_4_c_c_36_36_24,tetragonal,"5.5, 3",,"1,2,3,4,5,6,8,9",36,36,24
P_4_n_c_36_36_24,tetragonal,"5.5, 3",,"2,3,4,5,6,8,9",36,36,24
P_42_m_c_36_36_24,tetragonal,"5.5, 3",,"1,2,3,4,5,6,8,9",36,36,24
P_42_b_c_36_36_24,tetragonal,"5.5, 3",,"2,3,4,5,6,8,9",36,36,24
I_4_m_m_36_36_24,tetragonal,"5.5, 3",,"2,3,4,5,6,8,9",36,36,24
I_4_c_m_36_36_24,tetragonal,"5.5, 3",,"2,3,4,5,6,8,9",36,36,24
I_41_m_d_36_36_24,tetragonal,"5.5, 3",,"5,6,8,9",36,36,24
I_41_c_d_36_36_24,tetragonal,"5.5, 3",,"7,8,9,17,18",36,36,24
P_-4_2_m_36_36_24,tetragonal,"5.5, 3",,"1,2,3,4,6,7",36,36,24
P_-4_2_c_36_36_24,tetragonal,"5.5, 3",,"1,2,3,4,6,7",36,36,24
P_-4_21_m_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6,7",36,36,24
P_-4_21_c_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6,7",36,36,24
P_-4_m_2_36_36_24,tetragonal,"5.5, 3",,"1,2,3,4,5,7",36,36,24
P_-4_c_2_36_36_24,tetragonal,"5.5, 3",,"1,2,3,4,5,7",36,36,24
P_-4_b_2_36_36_24,tetragonal,"5.5, 3",,"2,3,4,5,7",36,36,24
P_-4_n_2_36_36_24,tetragonal,"5.5, 3",,"2,3,4,5,7",36,36,24
I_-4_m_2_36_36_24,tetragonal,"5.5, 3",,"2,3,4,5,7",36,36,24
I_-4_c_2_36_36_24,tetragonal,"5.5, 3",,"2,3,4,5,7",36,36,24
I_-4_2_m_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6,7",36,36,24
I_-4_2_d_36_36_24,tetragonal,"5.5, 3",,"4,6,7",36,36,24
P_4%m_m_m_36_36_24,tetragonal,"5.5, 3",,"1,2,3,4,6",36,36,24
P_4%m_c_c_36_36_24,tetragonal,"5.5, 3",,"1,2,3,4,6",36,36,24
P_4%n_b_m_1_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6",36,36,24
P_4%n_n_c_1_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6",36,36,24
P_4%m_b_m_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6",36,36,24
P_4%m_n_c_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6",36,36,24
P_4%n_m_m_1_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6",36,36,24
P_4%n_c_c_1_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6",36,36,24
P_4%n_c_c_2_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6",36,36,24
P_42%m_m_c_36_36_24,tetragonal,"5.5, 3",,"1,2,3,4,6",36,36,24
P_42%m_c_m_36_36_24,tetragonal,"5.5, 3",,"1,2,3,4,6",36,36,24
P_42%n_b_c_1_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6",36,36,24
P_42%n_n_m_1_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6",36,36,24
P_42%m_b_c_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6",36,36,24
P_42%m_n_m_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6",36,36,24
P_42%n_m_c_1_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6",36,36,24
P_42%n_c_m_1_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6",36,36,24
I_4%m_m_m_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6",36,36,24
I_4%m_c_m_36_36_24,tetragonal,"5.5, 3",,"2,3,4,6",36,36,24
I_41%a_m_d_1_36_36_24,tetragonal,"5.5, 3",,"4,6",36,36,24
I_41%a_c_d_1_36_36_24,tetragonal,"5.5, 3",,"5,6,12",36,36,24
P_2_3_32_32_32,cubic,3,,"1,2,3,4",32,32,32
F_2_3_32_32_32,cubic,3,,"3,4",32,32,32
I_2_3_32_32_32,cubic,3,,"2,3,4",32,32,32
P_21_3_32_32_32,cubic,3,,"2,3,4",32,32,32
I_21_3_32_32_32,cubic,3,,"2,3,4",32,32,32
P_m_-3_32_32_32,cubic,3,,"1,2,3",32,32,32
P_n_-3_1_32_32_32,cubic,3,,"2,3",32,32,32
P_n_-3_2_32_32_32,cubic,3,,"2,3",32,32,32
F_m_-3_32_32_32,cubic,3,,3,32,32,32
I_m_-3_32_32_32,cubic,3,,"2,3",32,32,32
P_a_-3_32_32_32,cubic,3,,3,32,32,32
I_a_-3_32_32_32,cubic,3,,4,32,32,32
P_4_3_2_32_32_32,cubic,3,,"1,2,3",32,32,32
P_42_3_2_32_32_32,cubic,3,,"2,3",32,32,32
F_4_3_2_32_32_32,cubic,3,,3,32,32,32
F_41_3_2_32_32_32,cubic,3,,3,32,32,32
I_4_3_2_32_32_32,cubic,3,,"2,3",32,32,32
P_43_3_2_32_32_32,cubic,3,,"2,3",32,32,32
P_41_3_2_32_32_32,cubic,3,,"2,3",32,32,32
I_41_3_2_32_32_32,cubic,3,,"2,3",32,32,32
P_-4_3_m_32_32_32,cubic,3,,"1,2,3,4",32,32,32
F_-4_3_m_32_32_32,cubic,3,,"3,4",32,32,32
I_-4_3_m_32_32_32,cubic,3,,"2,3,4",32,32,32
P_-4_3_n_32_32_32,cubic,3,,"2,3,4",32,32,32
F_-4_3_c_32_32_32,cubic,3,,5,32,32,32
I_-4_3_d_32_32_32,cubic,3,,"7,8",32,32,32
P_m_-3_m_32_32_32,cubic,3,,"1,2,3",32,32,32
P_m_-3_n_32_32_32,cubic,3,,"2,3",32,32,32
F_m_-3_m_32_32_32,cubic,3,,3,32,32,32
F_m_-3_c_32_32_32,cubic,3,,4,32,32,32
I_m_-3_m_32_32_32,cubic,3,,"2,3",32,32,32
I_a_-3_d_32_32_32,cubic,3,,6,32,32,32
F_d_-3_1_32_32_32,cubic,3,,3,32,32,32
F_d_-3_2_32_32_32,cubic,3,,3,32,32,32
F_d_-3_c_1_32_32_32,cubic,3,,7,32,32,32
F_d_-3_c_2_32_32_32,cubic,3,,7,32,32,32
F_d_-3_m_1_32_32_32,cubic,3,,3,32,32,32
F_d_-3_m_2_32_32_32,cubic,3,,3,32,32,32
P_n_-3_1_32_32_32,cubic,3,,"2,3",32,32,32
P_n_-3_2_32_32_32,cubic,3,,"2,3",32,32,32
P_n_-3_m_1_32_32_32,cubic,3,,"2,3",32,32,32
P_n_-3_m_2_32_32_32,cubic,3,,"2,3",32,32,32
P_n_-3_n_1_32_32_32,cubic,3,,"2,3",32,32,32
P_n_-3_n_2_32_32_32,cubic,3,,"2,3",32,32,32
P_m_m_2_32_32_32,orthorhombic,"2, 3, 4",,"1,2,3,4,5,6,7,8,9,10,11",32,32,32
P_m_c_21_32_32_32,orthorhombic,"2, 3, 4",,"1,2,3,4,5,6,7,8,9,10,11",32,32,32
P_c_c_2_32_32_32,orthorhombic,"2, 3, 4",,"1,2,3,4,5,6,7,8,9,10,11",32,32,32
P_m_a_2_32_32_32,orthorhombic,"2, 3, 4",,"2,3,4,5,6,7,8,9,10,11",32,32,32
P_c_a_21_32_32_32,orthorhombic,"2, 3, 4",,"2,3,4,5,6,7,8,9,10,11",32,32,32
P_n_c_2_32_32_32,orthorhombic,"2, 3, 4",,"1,2,3,4,5,6,7,8,9,10,11",32,32,32
P_m_n_21_32_32_32,orthorhombic,"2, 3, 4",,"2,3,4,5,6,7,8,9,10,11",32,32,32
P_b_a_2_32_32_32,orthorhombic,"2, 3, 4",,"3,4,5,6,7,8,9,10,11",32,32,32
P_n_a_21_32_32_32,orthorhombic,"2, 3, 4",,"5,6,7,8,9,10,11",32,32,32
P_n_n_2_32_32_32,orthorhombic,"2, 3, 4",,"5,6,7,8,9,10,11",32,32,32
C_m_m_2_32_32_32,orthorhombic,"2, 3, 4",,"3,4,5,6,7,8,9,10,11",32,32,32
C_m_c_21_32_32_32,orthorhombic,"2, 3, 4",,"5,6,7,8,9,10,11",32,32,32
C_c_c_2_32_32_32,orthorhombic,"2, 3, 4",,"5,6,7,8,9,10,11",32,32,32
A_m_m_2_32_32_32,orthorhombic,"2, 3, 4",,"1,2,3,4,5,6,7,8,9,10,11",32,32,32
A_b_m_2_32_32_32,orthorhombic,"2, 3, 4",,"1,2,3,4,5,6,7,8,9,10,11",32,32,32
A_m_a_2_32_32_32,orthorhombic,"2, 3, 4",,"7,8,9,10,11",32,32,32
A_b_a_2_32_32_32,orthorhombic,"2, 3, 4",,"10,11",32,32,32
F_m_m_2_32_32_32,orthorhombic,"2, 3, 4",,"10,11",32,32,32
F_d_d_2_32_32_32,orthorhombic,"2, 3, 4",,"10,11",32,32,32
I_m_m_2_32_32_32,orthorhombic,"2, 3, 4",,"5,6,7,8,9,10,11",32,32,32
I_b_a_2_32_32_32,orthorhombic,"2, 3, 4",,"5,6,7,8,9,10,11",32,32,32
I_m_a_2_32_32_32,orthorhombic,"2, 3, 4",,"5,6,7,8,9,10,11",32,32,32
P_m_m_m_32_32_32,orthorhombic,"2, 3, 4",,"1,2,3,4,5,6,7",32,32,32
P_n_n_n_1_32_32_32,orthorhombic,"2, 3, 4",,"4,5,6,7",32,32,32
P_n_n_n_2_32_32_32,orthorhombic,"2, 3, 4",,"4,5,6,7",32,32,32
P_c_c_m_32_32_32,orthorhombic,"2, 3, 4",,"1,2,3,4,5,6,7",32,32,32
P_b_a_n_1_32_32_32,orthorhombic,"2, 3, 4",,"3,4,5,6,7",32,32,32
P_b_a_n_2_32_32_32,orthorhombic,"2, 3, 4",,"3,4,5,6,7",32,32,32
P_m_m_a_32_32_32,orthorhombic,"2, 3, 4",,"2,3,4,5,6,7",32,32,32
P_n_n_a_32_32_32,orthorhombic,"2, 3, 4",,"5,6,7",32,32,32
P_m_n_a_32_32_32,orthorhombic,"2, 3, 4",,"2,3,4,5,6,7",32,32,32
P_c_c_a_32_32_32,orthorhombic,"2, 3, 4",,"2,3,4,5,6,7",32,32,32
P_b_a_m_32_32_32,orthorhombic,"2, 3, 4",,"3,4,5,6,7",32,32,32
P_c_c_n_32_32_32,orthorhombic,"2, 3, 4",,"4,5,6,7",32,32,32
P_b_c_m_32_32_32,orthorhombic,"2, 3, 4",,"1,2,3,4,5,6,7",32,32,32
P_n_n_m_32_32_32,orthorhombic,"2, 3, 4",,"4,5,6,7",32,32,32
P_m_m_n_1_32_32_32,orthorhombic,"2, 3, 4",,"3,4,5,6,7",32,32,32
P_m_m_n_2_32_32_32,orthorhombic,"2, 3, 4",,"3,4,5,6,7",32,32,32
P_b_c_n_32_32_32,orthorhombic,"2, 3, 4",,"4,5,6,7",32,32,32
P_b_c_a_32_32_32,orthorhombic,"2, 3, 4",,7,32,32,32
P_n_m_a_32_32_32,orthorhombic,"2, 3, 4",,"5,6,7",32,32,32
C_m_c_m_32_32_32,orthorhombic,"2, 3, 4",,"4,5,6,7",32,32,32
C_m_c_a_32_32_32,orthorhombic,"2, 3, 4",,7,32,32,32
C_m_m_m_32_32_32,orthorhombic,"2, 3, 4",,"3,4,5,6,7",32,32,32
C_c_c_m_32_32_32,orthorhombic,"2, 3, 4",,"4,5,6,7",32,32,32
C_m_m_a_32_32_32,orthorhombic,"2, 3, 4",,"3,4,5,6,7",32,32,32
C_c_c_a_1_32_32_32,orthorhombic,"2, 3, 4",,7,32,32,32
C_c_c_a_2_32_32_32,orthorhombic,"2, 3, 4",,7,32,32,32
F_m_m_m_32_32_32,orthorhombic,"2, 3, 4",,7,32,32,32
F_d_d_d_1_32_32_32,orthorhombic,"2, 3, 4",,7,32,32,32
F_d_d_d_2_32_32_32,orthorhombic,"2, 3, 4",,7,32,32,32
I_m_m_m_32_32_32,orthorhombic,"2, 3, 4",,"4,5,6,7",32,32,32
I_b_a_m_32_32_32,orthorhombic,"2, 3, 4",,"4,5,6,7",32,32,32
I_b_c_a_32_32_32,orthorhombic,"2, 3, 4",,"8,9,10",32,32,32
I_m_m_a_32_32_32,orthorhombic,"2, 3, 4",,"5,6,7",32,32,32
